production_title,stakeholder_name,role_in_production,participation_percentage
The Last Horizon,Apex Film Finance,Senior Lender,0
The Last Horizon,Sarah Chen,Producer,10
The Last Horizon,Global Screen Distribution,International Distributor,0
The Last Horizon,Horizon Sales Agency,Sales Agent,15
The Last Horizon,Northstar Completion Guarantors,Completion Guarantor,0
The Last Horizon,David Park,Director,5
Midnight in Marrakech,Mediterranean Film Fund,Co-Production Financier,0
Midnight in Marrakech,Jean-Luc Moreau,Producer,12
Midnight in Marrakech,Pathé Distribution,European Distributor,25
Midnight in Marrakech,Horizon Sales Agency,Sales Agent,10
Broken Strings,Eagle Point Investors,Equity Investor,0
Broken Strings,Writers Guild of America,Guild - Writers,3
Broken Strings,Screen Actors Guild,Guild - Actors,4
Broken Strings,Lionsgate International,US Distributor,0
The Baker's Daughter,Apex Film Finance,Gap Financier,0
The Baker's Daughter,Global Screen Distribution,International Sales,20
The Baker's Daughter,Lionsgate International,North American Distributor,0
Code Red,Apex Film Finance,Production Lender,0
Code Red,Lionsgate International,Lead Distributor,0
Code Red,Horizon Sales Agency,International Sales,12.5
Code Red,Robert Kim,Producer,8
Blood Orange,Mediterranean Film Fund,Production Financier,0
Blood Orange,Pathé Distribution,European Distributor,20
Blood Orange,Lionsgate International,North American Distributor,0
The Algorithm,Toho International,Japanese Distributor,0
The Algorithm,Lionsgate International,North American Distributor,0
The Algorithm,Global Screen Distribution,European Distributor,0
